user_input,provide_preference,accept_recommendation,reject_recommendation,inquire_resources,club_related_inquiries,short_answer_inquiries
"I love Italian food, especially pasta.",1,0,0,0,0,0
"Yes, that suggestion works perfectly for me.",0,1,0,1,0,0
"No, I don¡¯t think that¡¯s a good idea.",0,0,1,0,0,0
Can you tell me more about this event?,0,0,0,1,0,1
I have no strong preference on this topic.,1,0,1,0,0,0
How can I apply for research funding at UofT?,0,0,0,1,0,0
Is UTMIST open to all students?,0,0,0,0,1,0
What¡¯s the best way to learn deep learning?,0,0,0,1,0,0
Do you know when the next AI conference is?,0,0,1,0,0,0
Which library on campus is the best for studying?,0,0,0,0,0,0
I like watching sci-fi movies in my free time.,1,0,0,0,0,0
Could you recommend a good online AI course?,0,0,0,1,0,0
I want to join a club that focuses on ML research.,0,0,0,0,0,0
Do I need prior experience to participate in UTMIST projects?,0,0,0,0,1,0
What¡¯s the acceptance rate of the AI program at UofT?,0,0,0,1,0,0
Do you know any good datasets for NLP research?,0,0,1,0,0,0
I prefer coding in Python over Java.,1,0,0,0,0,0
"Yes, I would like to proceed with your suggestion.",1,1,0,1,0,0
"No, I¡¯m not interested in that recommendation.",0,0,1,1,0,0
What kind of projects does UTMIST work on?,0,0,0,1,1,0
Tell me the latest advancements in reinforcement learning.,0,0,0,0,0,1
How can I become a member of the AI society?,0,0,0,1,0,0
What is the best GPU for training large models?,0,0,0,1,0,1
Can you help me find a mentor in ML research?,0,0,0,1,0,0
Which professor at UofT specializes in NLP?,0,0,0,0,0,0
I love playing basketball on weekends.,1,0,0,0,0,0
What¡¯s a good introductory book on deep learning?,0,0,0,1,0,0
Do you know when the next hackathon is happening?,0,0,1,0,0,0
How do I set up a PyTorch environment?,0,0,0,1,0,0
What¡¯s a good place to study data science at UofT?,0,0,0,1,0,0
What are the prerequisites for an ML course?,0,0,0,1,0,0
What¡¯s the best way to deploy a deep learning model?,0,0,0,1,0,0
How can I get involved in AI research as an undergrad?,0,0,0,1,0,0
I am interested in reinforcement learning for robotics.,0,0,0,0,0,0
Which AI startup should I follow for the latest trends?,0,0,0,0,0,0
I would like to join a study group for ML.,1,0,0,0,0,0
Where can I find resources on generative AI?,0,0,0,1,0,0
"I don¡¯t mind what we eat, you choose.",0,0,0,1,0,0
What¡¯s the most effective way to learn statistics for ML?,0,0,0,1,0,0
Which programming language is best for AI?,0,0,0,0,0,0
What¡¯s the difference between supervised and unsupervised learning?,0,0,0,1,0,1
Can you summarize this paper on attention mechanisms?,0,0,0,1,0,0
How do I apply for an internship at an AI company?,0,0,0,1,0,0
I prefer learning from video lectures rather than books.,1,0,0,0,0,0
Are there any research opportunities available at UofT?,0,0,0,0,0,0
What is the role of transformers in deep learning?,0,0,0,1,0,1
What¡¯s a good resource to learn prompt engineering?,0,0,0,1,0,0
How does transfer learning improve model performance?,0,0,0,1,0,1
How can I join an AI competition?,0,0,0,1,0,0
What is UTMIST¡¯s main focus this year?,0,0,0,1,1,1
"I enjoy classical music, especially Beethoven.",1,0,0,0,0,0
"Yes, this choice is fine for me.",0,1,0,0,0,0
"No, I don't think this is the right option.",0,0,1,0,0,0
Can you give me details about this workshop?,0,0,0,1,0,0
I have no specific choice in this matter.,0,0,1,0,0,0
How can I apply for a scholarship at UofT?,0,0,0,1,0,0
Is there a way to join UTMIST remotely?,0,0,0,0,1,0
What is the best online course for machine learning?,0,0,0,1,0,1
Do you know about any AI-related meetups in Toronto?,0,0,1,0,0,0
Where can I find a quiet study space on campus?,0,0,0,1,0,0
I like reading books on history and philosophy.,1,0,0,0,0,0
Can you suggest a good Python course for beginners?,0,0,0,1,0,0
I want to participate in a club focused on robotics.,0,0,0,0,0,0
Are there any beginner-friendly ML projects at UTMIST?,0,0,0,0,1,0
What is the minimum GPA required for AI programs at UofT?,0,0,0,1,0,1
Can you recommend a dataset for computer vision research?,0,0,0,1,0,0
I prefer Java over Python for software development.,1,0,0,0,0,0
"Yes, let's go ahead with this option.",0,1,0,0,0,0
"No, I don't want to go with this recommendation.",0,0,1,1,0,0
What kind of competitions does UTMIST organize?,0,0,0,1,1,0
Tell me about recent developments in AI ethics.,0,0,0,0,0,1
How can I become an active member of UTMIST?,0,0,0,1,1,0
What is the most efficient way to fine-tune a model?,0,0,0,1,0,1
Can you connect me with someone experienced in ML?,0,0,0,1,0,0
Which professor at UofT specializes in reinforcement learning?,0,0,0,0,0,0
I like hiking and outdoor activities.,1,0,0,0,0,0
What is a good introductory book on statistics?,0,0,0,1,0,1
When is the next UofT hackathon happening?,0,0,0,0,0,0
How do I configure TensorFlow on my laptop?,0,0,0,1,0,0
Where can I find AI research papers for self-study?,0,0,0,1,0,0
What prerequisites are needed for deep learning courses?,0,0,0,1,0,0
How can I deploy an ML model efficiently?,0,0,0,1,0,0
What is the best way to gain research experience in AI?,0,0,0,1,0,1
I am interested in computer vision for medical applications.,0,0,0,0,0,0
Which AI company is leading in innovation this year?,0,0,1,0,0,0
I would like to find a peer study group for AI.,1,0,0,1,0,0
Where can I get a guide to reinforcement learning?,0,0,0,1,0,0
"I have no preference, choose whatever works best.",1,0,1,1,0,0
What is the most useful skill for a data scientist?,0,0,0,1,0,1
Which programming language is used most in AI?,0,0,0,0,0,0
How does unsupervised learning differ from reinforcement learning?,0,0,0,1,0,1
Can you summarize this research on neural networks?,0,0,0,1,0,0
How can I apply for a research assistant position?,0,0,0,1,0,0
I prefer watching lectures instead of reading textbooks.,1,0,0,0,0,0
Are there open research opportunities in AI at UofT?,0,0,0,0,0,0
What is the impact of transformers in NLP?,0,0,0,1,0,1
What is a good starting point for learning AI alignment?,0,0,0,1,0,1
How does self-supervised learning improve model accuracy?,0,0,0,1,0,1
How can I participate in AI-related hackathons?,0,0,0,1,0,0
What is the focus of UTMIST this academic year?,0,0,0,1,1,1
I enjoy playing chess in my free time.,1,0,0,0,0,0
"Yes, that option works for me.",0,1,0,0,0,0
"No, I do not want to proceed with that.",0,0,1,0,0,0
Can you provide more details on this opportunity?,0,0,0,1,0,0
I do not have any strong opinions on this.,0,0,1,0,0,0
How can I sign up for an AI course at UofT?,0,0,0,1,0,0
Is there a way to collaborate with UTMIST online?,0,0,0,0,1,0
What are some good AI-related books for beginners?,0,0,0,1,0,0
Do you know about upcoming AI conferences worldwide?,0,0,1,0,0,0
Which caf¨¦ on campus has the best coffee?,0,0,0,0,0,0
I like to watch documentaries about space exploration.,1,0,0,0,0,0
Can you suggest an advanced Python programming course?,0,0,0,1,0,0
I want to participate in a student-run AI research project.,0,0,0,0,0,0
Are there mentorship opportunities at UTMIST?,0,0,0,0,1,0
What is the ranking of the AI program at UofT?,0,0,0,1,0,1
Can you recommend a dataset for sentiment analysis?,0,0,0,1,0,0
I prefer using R for statistical analysis.,1,0,0,0,0,0
"Yes, I agree with that suggestion.",0,1,0,1,0,0
"No, I do not think that is a good recommendation.",0,0,1,1,0,0
What kind of machine learning competitions can I join?,0,0,0,1,0,0
Tell me about recent breakthroughs in AI safety.,0,0,0,0,0,1
How do I become a core member of UTMIST?,0,0,0,1,1,0
What is the best hardware setup for training deep learning models?,0,0,0,1,0,1
Can you help me find an AI internship?,0,0,0,1,0,0
Which professor at UofT is best known for AI research?,0,0,1,0,0,0
I enjoy cycling on weekends.,1,0,0,0,0,0
What are some must-read papers in machine learning?,0,0,0,1,0,0
When is the next major AI event happening?,0,0,0,0,0,0
How do I optimize hyperparameters for a neural network?,0,0,0,1,0,0
Where can I find open-source AI projects to contribute to?,0,0,0,1,0,0
What are the key concepts in reinforcement learning?,0,0,0,1,0,0
How do I deploy an AI model in production?,0,0,0,1,0,0
What steps should I take to start AI research?,0,0,0,1,0,0
I am interested in NLP applications for healthcare.,0,0,0,0,0,0
Which AI startup is making the biggest impact in 2025?,0,0,0,0,0,0
I want to form a study group for deep learning.,0,0,0,0,0,0
Where can I find a tutorial on Bayesian statistics?,0,1,0,1,0,0
"I do not have a preference, any option works.",1,0,1,0,0,0
What is the best way to improve coding skills for AI?,0,0,0,1,0,1
Which programming framework is best for deep learning?,0,0,0,0,0,0
How do supervised and semi-supervised learning compare?,0,0,0,1,0,0
Can you summarize this research paper on GANs?,0,0,0,1,0,0
How can I secure a research position in deep learning?,0,0,0,1,0,0
I prefer hands-on projects over theoretical coursework.,1,0,0,0,0,0
Are there any AI-focused networking events at UofT?,0,0,0,0,0,0
What role does attention play in modern NLP models?,0,0,0,1,0,0
What is a good starting point for learning computational neuroscience?,0,0,0,1,0,1
How does knowledge distillation improve model efficiency?,0,0,1,1,0,1
How can I find collaborators for an AI research project?,0,0,0,1,0,0
What are the future goals of UTMIST?,0,0,0,1,1,0
I enjoy watching documentaries on artificial intelligence.,1,0,0,0,0,0
"Yes, I am comfortable with that decision.",0,1,0,0,0,0
"No, I do not think this is the best option.",0,0,1,0,0,0
Can you provide information on this scholarship?,0,0,0,1,0,0
I do not have any particular preference.,1,0,1,0,0,0
How can I enroll in an advanced AI course at UofT?,0,0,0,1,0,0
Is it possible to collaborate with UTMIST on research?,0,0,0,0,1,0
What are some recommended AI podcasts?,0,0,0,1,0,0
Do you know any AI-related online communities?,0,0,1,0,0,0
Which is the best place on campus for group study?,0,0,0,0,0,0
I enjoy reading about the history of computing.,1,0,0,0,0,0
Can you suggest a book on reinforcement learning?,0,0,0,1,0,0
I want to work on a project related to AI ethics.,0,0,0,0,0,0
Are there any AI workshops happening at UofT?,0,0,0,0,0,0
What is the job placement rate for AI graduates at UofT?,0,0,0,1,0,1
Can you recommend a dataset for speech recognition?,0,0,0,1,0,0
I prefer working with structured data over unstructured data.,1,0,0,0,0,0
"Yes, let's proceed with that plan.",0,1,0,0,0,0
"No, I would rather explore other options.",0,0,1,0,0,0
What kind of AI challenges can students participate in?,0,0,0,1,0,0
Tell me about recent advances in computer vision.,0,0,0,0,0,1
How do I become a mentor in UTMIST?,0,0,0,1,1,0
What is the best cloud platform for deep learning?,0,0,0,1,0,1
Can you help me prepare for an AI job interview?,0,0,0,1,0,0
Which professor at UofT is an expert in generative models?,0,0,0,0,0,0
I like spending time in nature.,1,0,0,0,0,0
What are the fundamental concepts in deep reinforcement learning?,0,0,0,1,0,0
When is the next major AI symposium?,0,0,0,0,0,0
How do I implement a transformer model from scratch?,0,0,0,1,0,0
Where can I find datasets for AI training?,0,0,0,1,0,0
What are the key principles of explainable AI?,0,0,0,1,0,1
How do I deploy a chatbot on a cloud server?,0,0,0,1,0,0
What are the best ways to network in the AI industry?,0,0,0,1,0,0
I am interested in AI for environmental applications.,0,0,0,0,0,0
Which AI research lab is leading in innovation?,0,0,1,0,0,0
I want to form a discussion group on AI alignment.,0,0,0,0,0,0
Where can I find tutorials on probabilistic models?,0,0,0,1,0,0
I am okay with any option you choose.,0,0,0,0,0,0
What is the best way to improve coding efficiency?,0,0,0,1,0,1
Which deep learning framework is most efficient?,0,0,0,0,0,0
How does meta-learning work in AI?,0,0,0,1,0,1
Can you summarize this research paper on transformers?,0,0,0,1,0,0
How do I apply for an AI research grant?,0,0,0,1,0,0
I prefer hands-on experience over theoretical knowledge.,1,0,1,0,0,0
Are there any AI-focused hackathons coming up?,0,0,0,0,0,0
What is the importance of unsupervised learning in AI?,0,0,0,1,0,1
What is a good resource to learn about causal inference?,0,0,0,1,0,1
How does reinforcement learning differ from imitation learning?,0,0,0,1,0,1
How can I connect with other AI enthusiasts?,0,0,0,1,0,0
